Date,Open,High,Low,Close,Volume
2021-07-23,8.06,8.355,7.24,7.52,1298100
2021-07-26,7.5,8.02,7.39,7.81,483800
2021-07-27,7.788,7.788,7.2,7.44,664600
2021-07-28,7.54,8.28,7.5,8.1,770200
2021-07-29,8.1,8.28,7.79,7.86,448300
2021-07-30,7.85,8.065,7.66,7.88,382200
2021-08-02,8.0,8.09,7.19,7.26,523800
2021-08-03,7.25,7.395,6.8,6.98,713600
2021-08-04,6.88,7.43,6.88,7.14,478800
2021-08-05,7.17,7.52,7.11,7.48,381500
2021-08-06,7.56,7.9,7.38,7.61,469500
2021-08-09,7.66,8.28,7.53,8.02,641800
2021-08-10,8.11,8.18,7.31,7.49,512900
2021-08-11,7.55,7.605,6.78,7.02,660800
2021-08-12,7.0,7.19,6.93,6.96,565300
2021-08-13,6.96,7.09,6.72,6.75,1175900
2021-08-16,6.64,6.71,6.1,6.48,1096800
2021-08-17,6.5,7.05,6.102,6.75,1466400
2021-08-18,6.67,7.21,6.51,6.97,737100
2021-08-19,6.86,7.05,6.6,6.76,1108900
2021-08-20,6.71,7.224,6.69,6.71,1886600
2021-08-23,6.87,8.03,6.761,7.81,1309300
2021-08-24,7.9,8.56,7.772,8.39,1360900
2021-08-25,8.33,8.77,8.13,8.64,872400
2021-08-26,8.58,9.2,8.5,8.86,840100
2021-08-27,8.91,10.61,8.84,10.24,1660100
2021-08-30,10.18,10.59,8.93,9.95,2723500
2021-08-31,10.03,11.6,9.97,10.92,1883300
2021-09-01,10.84,11.55,10.46,11.2,1120700
2021-09-02,11.29,11.74,11.11,11.3,777500
2021-09-03,11.27,12.11,11.25,11.27,1569900
2021-09-07,11.39,12.53,11.01,11.89,1381000
2021-09-08,11.72,12.64,10.89,11.45,1965200
2021-09-09,11.46,14.31,11.41,11.88,2575100
2021-09-10,12.11,12.7,11.57,11.79,2514400
2021-09-13,11.76,12.0,11.09,11.15,2016100
2021-09-14,11.5,11.95,10.12,10.89,2380300
2021-09-15,11.26,11.26,9.21,9.83,2625000
2021-09-16,9.84,10.58,9.25,9.67,2698500
2021-09-17,9.76,10.3,9.235,9.69,2963500
2021-09-20,9.26,9.55,8.65,8.95,1637400
2021-09-21,9.65,10.49,8.51,9.64,3178300
2021-09-22,9.63,10.44,9.46,9.89,2361400
2021-09-23,9.99,11.46,9.82,11.14,2952100
2021-09-24,10.88,11.34,10.6,10.67,1538000
2021-09-27,10.59,12.88,10.55,11.91,4293000
2021-09-28,11.77,11.99,10.9,11.8,2676300
2021-09-29,11.97,12.07,10.78,10.97,2384200
2021-09-30,11.1,12.11,10.75,11.49,2564200
2021-10-01,11.59,12.04,10.69,10.83,2495500
2021-10-04,10.83,11.32,10.23,10.84,1554500
2021-10-05,10.9,11.59,10.833,11.01,1364300
2021-10-06,10.84,11.64,10.6,11.15,2014300
2021-10-07,11.3,12.38,11.08,11.74,2437700
2021-10-08,11.83,12.57,11.77,11.97,1339100
2021-10-11,12.1,12.4,11.43,11.6,1933300
2021-10-12,11.57,12.58,11.28,12.54,1789900
2021-10-13,12.55,12.89,12.19,12.52,1741700
2021-10-14,12.86,12.86,11.91,12.6,916400
